-1.26	21.27	2
7.96	-20.77	0
6.99	-9.96	0
-15.91	3.33	1
23.31	4.27	3
-14.09	7.91	1
21.36	5.29	3
-2.95	-21.07	0
-5.26	1.18	1
-5.48	8.08	1
11.22	16.92	2
3.01	-11.99	0
-2.41	-4.85	0
-23.26	-1.91	1
24.46	2.66	3
-1.4	-15.86	0
17.17	-2.39	3
5.62	-12.93	0
-2.85	-14.29	0
-13.77	8.85	1
6.44	19.48	2
0.03	-10.34	0
-8.09	-8.81	0
-19.19	-4.52	1
17.54	4.63	3
6.11	-5.46	0
21.33	8.11	3
4.78	-5.18	0
0.44	-7.38	0
-14.53	9.43	1
0.24	26.59	2
-13.63	7.37	1
-5.02	-3.6	0
-6.03	-11.22	0
18.01	3.47	3
-3.19	-9.59	0
6.13	15.9	2
-13.37	9.99	1
-0.02	-11.68	0
-20.74	12.82	1
-4.39	-10.77	0
25.05	0.77	3
2.82	-9.29	0
5.66	-10.37	0
-3.56	-18.92	0
-20.85	3.08	1
3.01	-11.39	0
1.64	-10.74	0
5.02	20.77	2
3.94	20.88	2
0.98	-6.8	0
6.27	-7.26	0
6.9	-13.32	0
1.67	-9.99	0
10.71	-9.21	0
10.32	13.99	2
3.25	-9.59	0
6.66	-11.72	0
22.43	10.56	3
-19.41	-8.14	1
-23.57	3.62	1
4.77	-11.74	0
-23.89	0.59	1
-21.56	-8.82	1
28.18	7.43	3
21.39	11.18	3
21.36	8.29	3
14.77	17.14	2
19.45	-4.41	3
-7.71	-19.19	0
7.91	-10.86	0
-6.15	-5.71	0
6.31	20.1	2
-18.42	11.8	1
-1.28	0.97	1
2.99	-9.24	0
2.75	-11.29	0
6.56	-13.93	0
-3.43	22.84	2
-1.26	23.8	2
0.19	-15.57	0
1.34	-19.62	0
21.7	7.18	3
-20.24	-5.36	1
-3.73	-2.33	0
7.5	-20.86	0
6.52	-3.71	0
18.2	-13.21	3
22.07	2.24	3
-24.1	-1.81	1
3.14	-14.1	0
-20.61	-14.86	1
-20.18	12	1
12.56	-20.24	0
-0.16	-17.46	0
20.14	-4.68	3
3.12	-10.38	0
22.57	0.69	3
-24.69	-5.22	1
19.92	-19.2	0
22.77	4.99	3
8.56	23.52	2
-0.01	-3.91	0
-14.34	-23.07	0
24.5	1.27	3
-16.44	11.55	1
18.07	-1.41	3
-0.79	-9.23	0
3.68	-11.34	0
0.86	-7.07	0
16.83	-1.39	3
18.75	2.69	3
2.37	-17.66	0
-2	-10.53	0
3.61	-11.31	0
2.84	-7.49	0
-4.98	-4.54	0
-3.19	-16.2	0
0.29	-15.95	0
-11.93	11.52	1
-3.32	-3.67	0
16.71	-12.12	3
0.05	-18.77	0
-3.65	-14.98	0
24.51	1.22	3
-16.19	-0.52	1
7.65	21.09	2
1.77	-10.77	0
-15.35	13.88	1
4.32	-15.59	0
2.02	24.14	2
-3.91	3.83	1
-8.44	-7.62	0
-19.63	-12	1
18.42	-14.95	0
-0.99	-13.18	0
14.56	17.15	2
1.07	-17.98	0
1.21	-5.26	0
-18.3	14.03	1
3.56	21.53	2
2.8	-7.27	0
-10.03	-11.59	0
-26.95	0.82	1
22.42	-10.87	3
-4.35	-17.56	0
18.01	10.4	3
4.87	-20.4	0
4.21	-0.22	0
-18.43	11.88	1
8.08	22.28	2
-2.23	-2.52	0
-12.03	-14.19	0
-16.93	-8	1
19.64	-12.42	3
6.28	-2.24	0
20.02	6.83	3
3.86	-19.63	0
7.17	-12.27	0
-16.2	11.62	1
6.02	20.84	2
-12.96	8.28	1
1.56	-15.38	0
5.05	-10.99	0
18.2	15.43	3
2.42	-10.29	0
4.29	22.58	2
-14.51	12.32	1
3.65	-6.8	0
-16.94	12.66	1
4.05	-12.54	0
25.34	-12.59	3
-2.31	-3.41	0
0.13	-20.01	0
-2.23	-19.54	0
-21.54	-8.63	1
-2.48	-9.62	0
-1.92	3.65	1
2.81	24.27	2
10.78	16.17	2
-9.58	-9.77	0
-9.73	-12.54	0
0.77	-22.19	0
-5.09	-0.97	1
0.24	-4.68	0
10.66	21.46	2
2.07	-7.39	0
-3.24	-8.9	0
15.7	13.27	3
-26.07	3.51	1
-19.14	-2.19	1
8.92	-21.08	0
-21.88	2.28	1
-23.03	-2.41	1
20.38	-10.45	3
23.7	5.47	3
18.44	13.38	3
18.9	16.66	3
21.1	-12.78	3
-10.3	10.45	1
7.21	-9.87	0
-0.14	-12.38	0
5.71	24.43	2
-14.94	5.34	1
2.9	-4.03	0
-8.98	-12.28	0
-0.08	-14.78	0
-5.4	-12.56	0
14.8	16.28	2
11.31	20.64	2
1.44	-5.46	0
1.13	-23.62	0
17.33	15.88	3
-20.45	-6.7	1
-5.26	-9.3	0
1.08	-10.68	0
5.72	-19.76	0
-18.3	-9.53	1
-1.63	-0.24	0
-19.84	-8.78	1
-14.05	5.21	1
7.58	-10.89	0
-1.65	-21.76	0
19.47	2.26	3
1.79	2.97	0
26.25	-11.81	3
-17.85	-9.14	1
3.92	-11.01	0
24.85	-13.1	3
0.14	25.08	2
-0.3	-11.02	0
-13.52	-9.03	1
17.48	13.75	3
-13.94	9.54	1
9.93	21.58	2
9.53	-9.76	0
-0.2	-20.88	0
7.7	-8.71	0
20.8	-12.87	3
22.26	-15.99	3
5.52	-20.47	0
1.49	1.4	0
5.42	-15.77	0
-1.32	-0.53	0
-4.27	-12.12	0
4.46	-11.03	0
3.17	-12.79	0
17.55	-8.22	3
1.36	-7.55	0
-0.37	-8.03	0
22.7	-13.28	3
-8.97	12.69	1
7.96	23.21	2
